vehicle_coordinates
[653   7],[662   7],[662  26],[654  26],[654  26],[653   7]
[798 101],[806 101],[806 120],[799 120],[799 120],[798 101]
[743 139],[752 139],[752 158],[744 158],[744 158],[743 139]
[830  99],[839  99],[839 118],[831 118],[831 118],[830  99]
[843  97],[852  97],[852 116],[844 116],[844 116],[843  97]
[854  97],[862  97],[862 116],[855 116],[855 116],[854  97]
[1157  206],[1157  214],[1138  214],[1138  206],[1138  206],[1157  206]
[1156  193],[1156  201],[1137  201],[1137  193],[1137  193],[1156  193]
[1209  216],[1209  225],[1190  225],[1190  217],[1190  217],[1209  216]
[1209  232],[1209  240],[1190  240],[1190  232],[1190  232],[1209  232]
[1208  242],[1208  250],[1189  250],[1189  242],[1189  242],[1208  242]
[1209  252],[1209  261],[1189  260],[1190  252],[1190  252],[1209  252]
[1208  269],[1208  278],[1189  277],[1189  270],[1189  270],[1208  269]
[1210  289],[1210  297],[1191  297],[1191  289],[1191  289],[1210  289]
[1211  308],[1210  317],[1191  316],[1192  309],[1192  309],[1211  308]
[1235  317],[1235  325],[1216  325],[1216  317],[1216  317],[1235  317]
[1235  306],[1235  314],[1216  314],[1216  306],[1216  306],[1235  306]
[1236  289],[1235  298],[1216  297],[1216  289],[1216  289],[1236  289]
[1239  278],[1239  287],[1219  286],[1220  279],[1220  279],[1239  278]
[1237  262],[1237  270],[1218  270],[1218  262],[1218  262],[1237  262]
[1234  253],[1233  262],[1214  261],[1214  254],[1214  254],[1234  253]
[1236  244],[1236  252],[1217  252],[1217  244],[1217  244],[1236  244]
[1237  216],[1237  225],[1218  225],[1218  217],[1218  217],[1237  216]
[1291  264],[1291  273],[1272  272],[1272  265],[1272  265],[1291  264]
[1209  334],[1209  343],[1190  342],[1190  335],[1190  335],[1209  334]
[1236  345],[1236  353],[1217  353],[1217  345],[1217  345],[1236  345]
[778 214],[778 222],[759 222],[759 214],[759 214],[778 214]
[751 233],[751 242],[732 241],[732 233],[732 233],[751 233]
[700 242],[700 250],[681 250],[681 242],[681 242],[700 242]
[750 324],[750 333],[730 332],[731 325],[731 325],[750 324]
[699 330],[699 338],[680 338],[680 330],[680 330],[699 330]
[777 389],[777 398],[758 397],[758 390],[758 390],[777 389]
[1209  372],[1209  380],[1189  380],[1190  372],[1190  372],[1209  372]
[1237  371],[1237  380],[1217  379],[1218  372],[1218  372],[1237  371]
[762 425],[770 425],[770 444],[763 444],[763 444],[762 425]
[808 426],[816 426],[816 445],[808 445],[808 445],[808 426]
[841 427],[849 427],[849 446],[842 446],[842 446],[841 427]
[863 427],[871 427],[871 446],[863 446],[863 446],[863 427]
[885 427],[893 427],[893 446],[886 446],[886 446],[885 427]
[920 426],[928 426],[928 445],[921 445],[921 445],[920 426]
[989 425],[997 425],[997 445],[989 445],[989 445],[989 425]
[940 386],[949 386],[949 405],[941 405],[941 405],[940 386]
[648 205],[657 205],[657 225],[649 225],[649 225],[648 205]
